n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
62,5.0160105419770655,103.68327244023072,0.20225468499999977,0.19710588200000068,99.48144961499995,0.1993616224749498,0.200441627,0.008331086999998405,4.822378655999984,0.009644757311999968,0.46237193672238935,0.5376280632776107,0.4172669978747614,0.5827330021252386,60.05811623246493,61437,30470,2.0,3503,1000
63,4.936348173576577,103.29443782447714,0.20578077500000092,0.19995534000000248,100.88429391299998,0.20257890343975898,0.200864556,0.008291271000000933,4.840531693000004,0.009681063386000008,0.45803080911366856,0.5419691908863314,0.41435094714340504,0.585649052856595,61.178714859437754,62433,30969,2.0,3503,1000
64,4.8562035321527235,103.48272058518776,0.20841830100000003,0.20316039399999752,102.54924380799991,0.20592217632128496,0.204724585,0.008191050000000644,4.831724534999988,0.009663449069999976,0.4537226617304444,0.5462773382695556,0.41062119549086973,0.5893788045091303,62.178714859437754,63428,31467,2.0,3503,1000
65,4.782949846235394,102.81646182607993,0.2121465839999992,0.20589783600000544,104.11984570400004,0.20907599538955832,0.208581122,0.008283008000000258,4.8630344900000475,0.009726068980000096,0.44957621436711587,0.5504237856328842,0.40225576088887355,0.5977442391111265,63.178714859437754,64424,31965,2.0,3503,1000
66,4.708838053855755,102.69846550501809,0.21508516900000174,0.209880493,105.75857447299995,0.21236661540763044,0.21203803,0.008221846999999727,4.868621917000005,0.00973724383400001,0.4454632119805472,0.5545367880194527,0.3986035416998091,0.601396458300191,64.18273092369478,65424,32463,2.0,3504,1000
67,4.637516055362393,102.54558314731204,0.21825065700000224,0.2126872479999946,107.38507296900009,0.2156326766445785,0.215172149,0.008372006000000098,4.875880409999952,0.009751760819999903,0.44145586316098295,0.558544136839017,0.396007544323023,0.603992455676977,65.17871485943775,66417,32961,2.0,3504,1000
68,4.569818295741168,102.10042455471952,0.22181538500000286,0.21557111400000117,108.97588651700002,0.2188270813594378,0.217905286,0.008317320999999822,4.897139284000048,0.009794278568000095,0.43754580033434975,0.5624541996656502,0.39346826655405004,0.6065317334459499,66.17871485943775,67413,33459,2.0,3504,1000
69,4.502252189317787,102.05163207090169,0.22500961899999972,0.2193689929999998,110.611307199,0.2221110586325301,0.22076917,0.008294778999999863,4.89948068299994,0.00979896136599988,0.43367703978679534,0.5663229602132047,0.39098035098061834,0.6090196490193817,67.18072289156626,68410,33957,2.0,3504,1000
70,4.4385162056934035,101.58180787802011,0.227934316999999,0.22220232500000492,112.19965793100002,0.22530051793373498,0.225403898,0.008336837999998181,4.922141183000033,0.009844282366000066,0.42993309845599204,0.570066901544008,0.38850251885249915,0.6114974811475009,68.18072289156626,69406,34456,2.0,3504,1000
71,4.373063605706583,101.45868474073049,0.2325483790000007,0.22512586299999882,113.87897476500004,0.22867264009036153,0.229334296,0.008337648999997782,4.9281143479999745,0.009856228695999949,0.4261803942091676,0.5738196057908325,0.3861206679292978,0.6138793320707022,69.17871485943775,70400,34953,2.0,3504,1000
72,4.313059381919883,101.0570939061956,0.2346014519999997,0.22883036900000064,115.46328392499989,0.23185398378514033,0.231243229,0.008270331999998604,4.947698183999986,0.009895396367999972,0.42259494762236716,0.5774050523776328,0.3837406900650663,0.6162593099349337,70.17871485943775,71398,35451,2.0,3504,1000
73,4.2520384019623565,100.89866320634435,0.23792111400000238,0.23208535799999908,117.12029688399997,0.23518131904417663,0.236308008,0.008290387000002397,4.955467041000011,0.009910934082000023,0.4190265981478617,0.5809734018521383,0.3814164571226322,0.6185835428773678,71.17871485943775,72393,35949,2.0,3504,1000
74,4.194017682505485,100.54013557074416,0.24129917000000134,0.23541089200000087,118.74055802799985,0.23843485547791135,0.238028494,0.008293512000001613,4.973138310999984,0.009946276621999968,0.4155525179018413,0.5844474820981587,0.37912197897080635,0.6208780210291936,72.18072289156626,73390,36447,2.0,3504,1000
75,4.138444205656285,100.41911181597128,0.24483230200000072,0.23833749199999943,120.33507648099993,0.24163669976104404,0.241405861,0.008320781000001887,4.979131870000039,0.009958263740000077,0.41216830748541794,0.5878316925145821,0.37428503354173137,0.6257149664582686,73.18072289156626,74387,36945,2.0,3504,1000
76,4.0846684700635105,100.08570078335123,0.24781087799999568,0.24194377200000083,121.91931943800003,0.24481791051807236,0.243823778,0.00828418400000075,4.995718630000066,0.009991437260000133,0.40886358695806063,0.5911364130419394,0.37118293647827666,0.6288170635217234,74.17871485943775,75380,37443,2.0,3504,1000
77,4.029455387398809,99.85722818933908,0.25128408500000177,0.24500416199999364,123.58990288300002,0.24817249574899602,0.248765996,0.008317494999999953,5.007148796999963,0.010014297593999926,0.4055663235079961,0.594433676492004,0.36904359751755195,0.6309564024824481,75.18072289156626,76379,37941,2.0,3504,1000
78,3.9777796624057595,99.48237169209978,0.254438582,0.24868584100000035,125.19547141000007,0.2513965289357431,0.252446701,0.008262063000000097,5.026016082000051,0.0100520321640001,0.40238340710111636,0.5976165928988837,0.3669670943636303,0.6330329056363697,76.18072289156626,77374,38439,2.0,3504,1000
79,3.9261849773755637,99.25967000430198,0.2577436509999984,0.25146750300000065,126.84068704599989,0.2547001747911644,0.255517162,0.00829251000000042,5.037292588000037,0.010074585176000074,0.3992363575740849,0.6007636424259151,0.36492210243891304,0.6350778975610869,77.18072289156626,78371,38937,2.0,3504,1000
80,3.8785606658711576,98.93757642664369,0.26092448800000057,0.2544393410000012,128.39814634900006,0.2578276031104419,0.258706023,0.008239438000000376,5.053691610999994,0.010107383221999989,0.39621693832155847,0.6037830616784415,0.36291415162533475,0.6370858483746653,78.18273092369478,79368,39435,2.0,3504,1000
81,3.8287626731493765,98.85260852030102,0.263902477000002,0.25849858299999795,130.06812971000014,0.26118098335341394,0.260999643,0.008385953000001223,5.058035467999984,0.010116070935999968,0.3931817194840728,0.6068182805159272,0.3609625393426709,0.639037460657329,79.18273092369478,80364,39933,2.0,3504,1000
82,3.782086237004316,98.37968691074634,0.26736779000000155,0.2607741929999996,131.67335930299987,0.26440433594979895,0.265018366,0.008337196000001157,5.082349982000027,0.010164699964000054,0.3902496645679675,0.6097503354320325,0.35902951799556954,0.6409704820044304,80.18072289156626,81358,40432,2.0,3504,1000
83,3.735105320959109,98.18504920828967,0.27067891800000154,0.26437454500000257,133.32957365500002,0.2677300675803213,0.266426111,0.008383168999998247,5.09242500799995,0.0101848500159999,0.3873514276755407,0.6126485723244592,0.35712606968138966,0.6428739303186104,81.17871485943775,82353,40929,2.0,3504,1000
